asset_id,css_class,category_id,category_slug,category_name,sequence_in_category,source_size,work_size,source_file,source_decoded,clean_png_512,svg_512_tight,webp_original_transparent,webp_background_1920,bg_remove_method,bbox_512_alpha,visible_area_pct_512,svg_path_count,svg_file_chars,review_flags
wafo-00-wafo_core-011,wafo-asset--00-wafo_core-011,00,wafo_core,WAFO Core 核心風格測試,11,350x351,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/5628b754-6ac3-42e7-a724-7334726e756f.png,00_WAFO_Core_核心風格測試/5628b754-6ac3-42e7-a724-7334726e756f.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-011.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-011.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-011.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-011-bg1920.webp,v2_fast_clean_then_svg,"32,12,480,500",42.656,8,1511,
wafo-00-wafo_core-012,wafo-asset--00-wafo_core-012,00,wafo_core,WAFO Core 核心風格測試,12,540x360,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/6ec2ada9-b7b9-4837-b749-b5351188c248.png,00_WAFO_Core_核心風格測試/6ec2ada9-b7b9-4837-b749-b5351188c248.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-012.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-012.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-012.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-012-bg1920.webp,v2_fast_clean_then_svg,"14,90,498,421",15.385,142,12493,
wafo-00-wafo_core-013,wafo-asset--00-wafo_core-013,00,wafo_core,WAFO Core 核心風格測試,13,360x360,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/6fae197c-50e7-4454-9365-fca05ecc7ed0.png,00_WAFO_Core_核心風格測試/6fae197c-50e7-4454-9365-fca05ecc7ed0.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-013.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-013.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-013.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-013-bg1920.webp,v2_fast_clean_then_svg,"12,16,500,495",15.275,67,5263,
wafo-00-wafo_core-014,wafo-asset--00-wafo_core-014,00,wafo_core,WAFO Core 核心風格測試,14,1448x1086,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/7_#U50b3#U7d71#U6cf0#U5f0f#U7d0b#U6a23#U8207#U88dd#U98fe#U5143#U7d20.png,00_WAFO_Core_核心風格測試/7_傳統泰式紋樣與裝飾元素.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-014.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-014.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-014.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-014-bg1920.webp,v2_fast_clean_then_svg,"13,77,500,436",12.004,185,16135,
wafo-00-wafo_core-015,wafo-asset--00-wafo_core-015,00,wafo_core,WAFO Core 核心風格測試,15,1002x980,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/7cbe1644-8d96-49b4-8ebe-c4c339d6304f.png,00_WAFO_Core_核心風格測試/7cbe1644-8d96-49b4-8ebe-c4c339d6304f.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-015.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-015.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-015.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-015-bg1920.webp,v2_fast_clean_then_svg,"13,17,500,494",31.616,53,7636,
wafo-00-wafo_core-016,wafo-asset--00-wafo_core-016,00,wafo_core,WAFO Core 核心風格測試,16,1536x1024,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/8f57e2c3-4fc0-433a-a7f4-07a19564ba04.png,00_WAFO_Core_核心風格測試/8f57e2c3-4fc0-433a-a7f4-07a19564ba04.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-016.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-016.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-016.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-016-bg1920.webp,v2_fast_clean_then_svg,"15,93,497,421",17.484,291,24726,complex_svg_many_paths
wafo-00-wafo_core-017,wafo-asset--00-wafo_core-017,00,wafo_core,WAFO Core 核心風格測試,17,980x980,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/9eef8f4a-4057-4dd8-b874-18b2c881171d.png,00_WAFO_Core_核心風格測試/9eef8f4a-4057-4dd8-b874-18b2c881171d.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-017.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-017.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-017.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-017-bg1920.webp,v2_fast_clean_then_svg,"12,12,500,500",90.845,1,236,very_large_visible_area
wafo-00-wafo_core-018,wafo-asset--00-wafo_core-018,00,wafo_core,WAFO Core 核心風格測試,18,1500x1597,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/a03035f9-a5b8-40b4-bac9-47ae89d8444a.png,00_WAFO_Core_核心風格測試/a03035f9-a5b8-40b4-bac9-47ae89d8444a.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-018.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-018.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-018.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-018-bg1920.webp,v2_fast_clean_then_svg,"27,12,485,500",28.913,64,8146,
wafo-00-wafo_core-019,wafo-asset--00-wafo_core-019,00,wafo_core,WAFO Core 核心風格測試,19,360x360,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/a25f245f-4665-436c-be71-48f61c775035.png,00_WAFO_Core_核心風格測試/a25f245f-4665-436c-be71-48f61c775035.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-019.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-019.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-019.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-019-bg1920.webp,v2_fast_clean_then_svg,"43,12,469,500",22.12,121,8084,
wafo-00-wafo_core-020,wafo-asset--00-wafo_core-020,00,wafo_core,WAFO Core 核心風格測試,20,1254x1254,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/a_clean_graphic_design_image_a_3x4_grid_arrangeme.png,00_WAFO_Core_核心風格測試/a_clean_graphic_design_image_a_3x4_grid_arrangeme.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-020.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-020.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-020.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-020-bg1920.webp,v2_fast_clean_then_svg,"20,15,492,497",17.918,240,21788,
